Creation Date,Step Count
2023-10-25 07:33:54+03:00,497
2023-10-25 07:36:42+03:00,678
2023-10-25 07:43:44+03:00,371
2023-10-25 07:46:43+03:00,164
2023-10-25 08:01:21+03:00,240
2023-10-25 08:02:41+03:00,135
2023-10-25 09:12:52+03:00,393
2023-10-25 09:17:20+03:00,105
2023-10-25 09:18:45+03:00,102
2023-10-25 09:22:53+03:00,766
2023-10-25 11:46:14+03:00,630
2023-10-25 11:47:11+03:00,677
2023-10-25 11:56:53+03:00,278
2023-10-25 11:57:12+03:00,198
2023-10-25 13:02:54+03:00,703
2023-10-25 13:04:00+03:00,747
2023-10-25 13:19:40+03:00,137
2023-10-25 13:21:00+03:00,121
2023-10-25 14:17:16+03:00,436
2023-10-25 14:21:04+03:00,491
2023-10-25 14:42:53+03:00,362
2023-10-25 14:49:23+03:00,751
2023-10-25 14:58:53+03:00,297
2023-10-25 15:27:44+03:00,143
2023-10-25 15:28:00+03:00,222
2023-10-25 17:29:45+03:00,101
2023-10-25 17:53:56+03:00,106
2023-10-25 18:02:21+03:00,298
2023-10-25 18:12:22+03:00,459
2023-10-25 18:13:46+03:00,419
2023-10-25 18:48:19+03:00,117
2023-10-25 19:39:45+03:00,401
2023-10-25 19:44:57+03:00,898
2023-10-25 19:49:46+03:00,936
2023-10-25 19:54:11+03:00,893
2023-10-25 19:55:41+03:00,106
2023-10-25 19:56:41+03:00,103
2023-10-25 19:59:47+03:00,923
2023-10-25 20:13:23+03:00,120
2023-10-26 12:29:11+03:00,183
2023-10-26 12:36:37+03:00,251
2023-10-26 12:38:33+03:00,116
2023-10-26 13:08:32+03:00,187
2023-10-26 13:08:50+03:00,140
2023-10-26 13:22:33+03:00,121
2023-10-26 13:28:52+03:00,132
2023-10-26 14:07:43+03:00,211
2023-10-26 14:08:08+03:00,225
2023-10-26 14:55:34+03:00,318
2023-10-26 15:05:35+03:00,118
2023-10-26 15:26:36+03:00,816
2023-10-26 15:30:53+03:00,902
2023-10-26 15:36:37+03:00,542
2023-10-26 15:39:27+03:00,209
2023-10-26 15:54:54+03:00,268
